Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,12-2019,1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020
BOC Aviation Ltd,349735,193975,Hong Kong,Singapore,10008,Financial,1.219715447872084,1.546913912941234,2.203801559076791,3.1405589179795106,2.7542821831544835,2.1979798483760358,1.7284063892719128,1.34143077709094,1.0471587099584447,0.854654293751734,0.8323349711344175,0.8376066756520221,0.8523086536721058
Chuan Holdings Ltd,49996500,194017,Hong Kong,Singapore,10011,Industrial,28.97003778606736,36.183947129615255,55.31343598360368,75.25027877719639,48.83091696523317,26.885393526112708,16.294745516379766,12.202622875998491,10.355306910650917,9.151995417940773,10.437893603928275,12.199008140461874,14.404107349278222
Worldgate Global Logistics Ltd,50305535,194186,Hong Kong,Malaysia,10011,Industrial,20.631501596713193,30.362464414226533,48.32527425197489,72.22477157880496,46.06627143393376,24.906191405318573,14.332446416639137,10.120798982015263,7.805007688904273,6.257205218894779,6.517550152660691,7.072484792560583,7.520736399214586
SingAsia Holdings Ltd,50425050,194261,Hong Kong,Singapore,10005,Consumer Non-Cyclical,94.4200986166903,321.26088657151155,1018.2046645286229,2090.2074250603832,2519.141410696831,2334.6704325211704,2068.1786636979564,1728.1699115195636,1376.503971636223,1111.361248096474,1070.9073482186136,1098.168686812162,1005.7866573259365
Zheng Li Holdings Ltd,51516657,194853,Hong Kong,Singapore,10004,Consumer Cyclical,6.742022478782188,8.077309805903788,9.300020772333262,10.960152661524942,6.9303084494591065,4.472845980265848,3.0072911604697663,2.365657414991444,1.7085122593465876,1.4343985419682823,1.3948692539026937,1.5614351418189132,1.70908160803256
Gemilang International Ltd,51519761,194874,Hong Kong,Malaysia,10004,Consumer Cyclical,9.190288541545154,13.367840278609277,18.588742180369987,25.171013162113976,17.135627669856383,11.265036577512404,7.826543385689302,5.7199660407889725,4.268524459649919,3.2278983254448765,3.048610254777479,3.0551511303348367,3.124850941559424
CMON Ltd,51766432,194988,Hong Kong,Singapore,10003,Communications,50.754278953573,67.40412487859575,74.82180724673829,81.15059531250624,84.81762213864329,89.23232054186069,92.00201188119985,86.9708939456856,80.27022727885398,75.97746510840912,75.88678708653711,75.7955048737289,77.65192690271321
Anacle Systems Ltd,48235617,195087,Hong Kong,Singapore,10013,Technology,7.54530818349328,9.338753323244259,10.815684498426661,9.624137002652654,10.388461305033381,12.519100045829756,13.896891100392242,11.91133934478696,10.14056016351254,9.357369298854822,8.919986572447325,8.233722280767223,7.669151001458416
Grandshores Technology Group Ltd,53256132,196491,Hong Kong,Singapore,10004,Consumer Cyclical,13.440698713907283,23.22601617247472,36.76877639217128,53.54796306892744,34.6719395621996,21.114053684382426,13.616173092381766,9.917784980964827,7.777283024982433,6.164306696668605,6.281089964554067,6.544677729316529,7.013159769973426
Nexion Technologies Ltd,53940832,197001,Hong Kong,Singapore,10013,Technology,8.502973796604167,9.167271715967095,9.95899936085123,10.422779537735865,11.836305122144642,13.513814863341423,15.685298050059803,14.508249107797859,13.058580969652064,11.695240387483347,11.277818673650176,10.835690284722219,10.534489362708529
S&P International Holding Ltd,54206859,197171,Hong Kong,Malaysia,10005,Consumer Non-Cyclical,6.144675392729078,9.535417618525312,16.186237719747144,25.722211095188825,20.64225841147444,15.045510470666326,11.842748425419174,9.806336733013207,7.914668608237217,6.391345077443266,6.470730038909038,6.965319219119161,7.92949282257818
UTS Marketing Solutions Holdings Ltd,54155319,197186,Hong Kong,Malaysia,10013,Technology,0.8150491734993088,1.0664022406882148,1.5028319099062553,1.7229597928355886,2.1534029427201036,2.726208937310906,3.5610664524982374,3.9115107468683576,4.150615383799986,4.254655395210476,4.801987289480909,5.252463096365114,5.244006682456141
TOMO Holdings Ltd,54215754,197198,Hong Kong,Singapore,10004,Consumer Cyclical,1.0424064005597657,1.131858420239849,1.464003913078351,1.4716193079852051,0.7783890876700842,0.32146897346584197,0.1487211535317867,0.072150461278678,0.0361194569366062,0.018546653480190304,0.01152003356166186,0.007010565781135961,0.004149525663575921
SK Target Group Ltd,54256839,197245,Hong Kong,Malaysia,10003,Communications,11.610754677380118,14.425650417444087,15.670655902323707,15.935034908424816,15.68322054425594,15.530404953167185,15.64343716320671,15.220879113733508,13.243579674679035,11.446376094838293,10.713214150994853,10.439623815839786,9.933998607385474
BGMC International Ltd,54482219,197386,Hong Kong,Malaysia,10011,Industrial,44.20932628539361,70.7010587139002,111.77355129552765,170.0750924538742,111.49972410851359,62.08809099063873,36.12234542849027,25.710423555807736,19.911789942321906,16.35682032124897,17.098747764677963,18.730883796350216,20.33602430663802
BHCC Holding Ltd,54751688,197531,Hong Kong,Singapore,10011,Industrial,25.573420501612674,36.798207896769206,57.48681171385944,87.58447806312016,57.39862936778803,32.314805246341415,19.222051528898675,13.962597642782463,11.189995786915457,9.40524725357359,9.936107947024189,10.774498317743562,11.724537859319089
Cool Link Holdings Ltd,54914651,197601,Hong Kong,Singapore,10005,Consumer Non-Cyclical,0.43222434927507664,0.5039593669754241,0.6415980500763528,0.7941761176839242,0.5167792727199526,0.31462079918913627,0.1910853757045117,0.12999885906790265,0.086681476803121,0.05908472303112945,0.04982943223878405,0.04548951590393777,0.04270588959121196
RMH Holdings Ltd,55231411,197757,Hong Kong,Singapore,10005,Consumer Non-Cyclical,8.85844928511916,20.588648112976607,44.62732264139791,67.7204175503683,56.959829792958544,41.81490600957012,29.359544779054207,19.468240012204934,15.438729416822396,11.23876153053981,10.820958133945311,11.261774983937686,11.309089436670385
Jinhai International Group Holdings Ltd,55300532,197793,Hong Kong,Singapore,10005,Consumer Non-Cyclical,0.30775194289319424,0.4034179637121984,0.6669150415057307,0.9249519501302782,0.7335020045694307,0.5356329852699958,0.3986701651285141,0.31840974477323813,0.24252656142079435,0.19190692280715285,0.1894831792423429,0.19505756827159337,0.2041513613934701
C&N Holdings Ltd,55341822,197802,Hong Kong,Singapore,10011,Industrial,36.005808897142416,54.39655977954992,95.24174791145349,154.15081256340622,114.15116550604698,67.50360071284237,45.61218028234268,33.912641661876286,29.093291493231522,25.873992797518916,27.810014816236755,33.6368278606482,36.32283134317937
Razer Inc,49008433,198040,Hong Kong,Singapore,10013,Technology,4.7775879666877445,5.011146760888875,5.2442474564742225,5.366533231830604,5.823094993395388,6.430004022857941,6.972083880009302,6.2192880090374185,5.366153287933306,4.697905227497426,4.342890710703291,4.024282947424657,3.84860501286339
Shuang Yun Holdings Ltd,55957196,198054,Hong Kong,Singapore,10011,Industrial,72.85378549676072,152.5954663484277,269.0582858984519,461.2506576447209,312.7184605533597,177.83247349433654,103.78782597216963,72.21309482625556,58.94487418888726,46.23085122663452,50.66794552558729,52.795486858359325,62.40930992707508
Indigo Star Holdings Ltd,55951151,198067,Hong Kong,Singapore,10011,Industrial,25.044449966786388,45.681053023777686,89.48335079395727,156.75324487447347,105.40839539463495,58.60635279505945,32.87587609109639,23.316357535927978,17.81416040212848,14.631551577452186,15.526468928886091,17.4263548349093,20.402918622747876
GT Steel Construction Group Ltd,54215502,198085,Hong Kong,Singapore,10002,Basic Materials,2.0261882659813395,3.138731194466651,4.828293300184368,6.631356693752395,3.1677478442094826,1.452758691801272,0.728961862586812,0.4746868329482206,0.3222406564681006,0.22672605386196834,0.2076022921377812,0.19208755309515757,0.17641296240223164
